,"=""ïiî‘""","=""â¡çHê}ïÑçÜ""","=""ê›ïœïÑçÜ""","=""ïiñº""","=""ÉXÉeÅ[É^ÉX""","=""î≠íçãÊï™""","=""êÆîıé∫""","=""êÆîıé∫ñº""","=""éËîzãÊï™""","=""çHíˆì‡äOêª""","=""çHíˆÉRÅ[Éh""","=""édì¸êÊñº/çHèÍñº""","=""î≠ëóèÍèä""","=""î≠ëóèÍèäñº""","=""éÛãããÊï™""","=""å„çHíˆì‡äOêª""","=""å„çHíˆÉRÅ[Éh""","=""å„çHíˆédì¸êÊñº/çHèÍñº""","=""éÛì¸èÍèä""","=""éÛì¸èÍèäñº""","=""î†éÌóﬁ""",é˚óeêî,äÓèÄç›å…ì˙êî,äÓèÄç›å…ñáêî,ÉTÉCÉNÉãä‘äu,"=""ÉTÉCÉNÉãâÒêî""",ÉTÉCÉNÉãèÓïÒ,"=""çXêV""","=""çXêVé“""","=""ç≈èIçXêVì˙éû""","=""É}ÉCÉiÉXïKóvêîóLñ≥""",ìñåéïKóvêî,"=""ìñåéâ“ì≠ì˙êî""",óÇåéïKóvêî,"=""óÇåéâ“ì≠ì˙êî""",óÇÅXåéïKóvêî,"=""óÇÅXåéâ“ì≠ì˙êî""",óÇÅXÅXåéïKóvêî,"=""óÇÅXÅXåéâ“ì≠ì˙êî""",1(ã‡),2(ìy),3(ì˙),4(åé),5(âŒ),6(êÖ),7(ñÿ),8(ã‡),9(ìy),10(ì˙),11(åé),12(âŒ),13(êÖ),14(ñÿ),15(ã‡),16(ìy),17(ì˙),18(åé),19(âŒ),20(êÖ),21(ñÿ),22(ã‡),23(ìy),24(ì˙),25(åé),26(âŒ),27(êÖ),28(ñÿ),29(ã‡),30(ìy),31(ì˙),ìñåéåvéZêî,óÇåéåvéZêî,óÇÅXåéåvéZêî,óÇÅXÅXåéåvéZêî,1(ã‡).1,2(ìy).1,3(ì˙).1,4(åé).1,5(âŒ).1,6(êÖ).1,7(ñÿ).1,8(ã‡).1,9(ìy).1,10(ì˙).1,11(åé).1,12(âŒ).1,13(êÖ).1,14(ñÿ).1,15(ã‡).1,16(ìy).1,17(ì˙).1,18(åé).1,19(âŒ).1,20(êÖ).1,21(ñÿ).1,22(ã‡).1,23(ìy).1,24(ì˙).1,25(åé).1,26(âŒ).1,27(êÖ).1,28(ñÿ).1,29(ã‡).1,30(ìy).1,31(ì˙).1,î[ì¸âÒêîÅiä‘äuÅj,î[ì¸âÒêîÅiâÒêîÅj,î[ì¸âÒêîÅiíxÇÍÅj,î†éÌóﬁ,î†èdó 
160,"=""90564-51A069""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,04, 4.00,ÉTÉìÉ{ÉbÉNÉXÅîÇQÇSÇ`ÉtÉ^ÉAÉä,  16.990
161,"=""90564-51A070""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,04, 4.00,ÉTÉìÉ{ÉbÉNÉXÅîÇQÇSÇ`ÉtÉ^ÉAÉä,  16.990
162,"=""90564-51A071""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,04, 4.00,ÉTÉìÉ{ÉbÉNÉXÅîÇQÇSÇ`ÉtÉ^ÉAÉä,  16.990
163,"=""90564-51A072""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,04, 4.00,ÉTÉìÉ{ÉbÉNÉXÅîÇQÇSÇ`ÉtÉ^ÉAÉä,  16.990
164,"=""90564-51A073""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,04, 4.00,ÉTÉìÉ{ÉbÉNÉXÅîÇQÇSÇ`ÉtÉ^ÉAÉä,  16.990
165,"=""90564-51A074""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,04, 4.00,ª›ŒﬁØ∏ΩÅî24AÃ¿±ÿ,  14.510
166,"=""90564-51A075""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,04, 4.00,ª›ŒﬁØ∏ΩÅî24AÃ¿±ÿ,  14.510
167,"=""90564-51A076""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,04, 4.00,ª›ŒﬁØ∏ΩÅî24AÃ¿±ÿ,  14.510
168,"=""90564-51A077""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,04, 4.00,ª›ŒﬁØ∏ΩÅî24AÃ¿±ÿ,  14.510
169,"=""90564-51A078""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,04, 4.00,ª›ŒﬁØ∏ΩÅî24AÃ¿±ÿ,  14.510
170,"=""90564-51A079""","=""""","="" A""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,04, 4.00,ª›ŒﬁØ∏ΩÅî24AÃ¿±ÿ,  14.510
171,"=""90564-51A080""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",        147,"=""20.0""",        124,"=""18.0""",        148,"=""21.0""",        119,"=""21.0""",          7,          0,          0,          7,          7,          7,          7,          7,          0,          0,          8,          8,          8,          7,          8,          0,          0,          7,          7,          7,          8,          7,          0,          0,          7,          8,          8,          7,          0,          0,          0,        137,        123,        147,        118,          6,          0,          0,          6,          6,          6,          6,          6,          0,          0,          7,          7,          7,          6,          7,          0,          0,          6,          6,          6,          7,          6,          0,          0,          6,          7,          7,          7,          0,          0,          0,1,02, 3.92,ÇsÇoÇRÇRÇPÅDÇTÉtÉ^ÉAÉä,   0.019
172,"=""90564-51A081""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",        381,"=""20.0""",        333,"=""18.0""",        399,"=""21.0""",        322,"=""21.0""",         19,          0,          0,         18,         18,         18,         18,         18,          0,          0,         20,         20,         20,         19,         20,          0,          0,         19,         19,         18,         20,         18,          0,          0,         19,         21,         20,         19,          0,          0,          0,        372,        332,        398,        321,         18,          0,          0,         17,         17,         17,         17,         17,          0,          0,         19,         19,         19,         18,         19,          0,          0,         18,         18,         17,         19,         17,          0,          0,         18,         20,         19,         18,          0,          0,          0,1,02, 3.92,ÇsÇoÇRÇRÇPÅDÇTÉtÉ^ÉAÉä,   0.019
173,"=""90564-51A082""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",        872,"=""20.0""",        771,"=""18.0""",        924,"=""21.0""",        744,"=""21.0""",         43,          0,          0,         42,         41,         41,         41,         42,          0,          0,         45,         45,         45,         44,         46,          0,          0,         44,         43,         42,         46,         41,          0,          0,         44,         48,         45,         44,          0,          0,          0,        861,        770,        923,        743,         42,          0,          0,         41,         40,         40,         40,         41,          0,          0,         44,         44,         44,         43,         45,          0,          0,         43,         43,         41,         45,         40,          0,          0,         43,         47,         44,         43,          0,          0,          0,1,02, 4.94,ÇsÇoÇPÇRÇPÉtÉ^ÉiÉV,   9.466
174,"=""90564-51A083""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""","      1,485","=""20.0""","      1,319","=""18.0""","      1,582","=""21.0""","      1,273","=""21.0""",         73,          0,          0,         71,         70,         70,         70,         72,          0,          0,         77,         77,         76,         75,         78,          0,          0,         75,         74,         71,         79,         70,          0,          0,         74,         81,         77,         75,          0,          0,          0,"      1,474","      1,318","      1,581","      1,272",         72,          0,          0,         70,         69,         69,         69,         71,          0,          0,         76,         76,         75,         74,         77,          0,          0,         74,         73,         70,         78,         69,          0,          0,         73,         80,         76,         74,          0,          0,          0,1,01, 2.29,ÉTÉìÉ{ÉbÉNÉXÅîÇXÇaÉtÉ^ÉiÉV,  12.000
175,"=""90564-51A084""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""","      1,552","=""20.0""","      1,381","=""18.0""","      1,655","=""21.0""","      1,332","=""21.0""",         76,          0,          0,         74,         74,         73,         73,         75,          0,          0,         80,         80,         80,         78,         81,          0,          0,         79,         78,         74,         82,         73,          0,          0,         78,         85,         80,         79,          0,          0,          0,"      1,543","      1,380","      1,654","      1,331",         75,          0,          0,         73,         73,         72,         72,         74,          0,          0,         79,         79,         79,         77,         80,          0,          0,         78,         77,         73,         81,         72,          0,          0,         77,         84,         79,         78,          0,          0,          0,1,06, 5.76,ÇsÇoÇRÇRÇPÉtÉ^ÉiÉV,  10.130
176,"=""90564-51A085""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""","      1,299","=""20.0""","      1,153","=""18.0""","      1,382","=""21.0""","      1,112","=""21.0""",         64,          0,          0,         62,         61,         61,         61,         63,          0,          0,         67,         67,         67,         66,         68,          0,          0,         66,         65,         62,         69,         61,          0,          0,         65,         71,         67,         66,          0,          0,          0,"      1,288","      1,152","      1,381","      1,111",         63,          0,          0,         61,         60,         60,         60,         62,          0,          0,         66,         66,         66,         65,         67,          0,          0,         65,         64,         61,         68,         60,          0,          0,         64,         70,         66,         65,          0,          0,          0,1,06, 5.76,ÇsÇoÇRÇRÇPÉtÉ^ÉiÉV,  10.220
177,"=""90564-51A086""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",        872,"=""20.0""",        771,"=""18.0""",        924,"=""21.0""",        744,"=""21.0""",         43,          0,          0,         42,         41,         41,         41,         42,          0,          0,         45,         45,         45,         44,         46,          0,          0,         44,         43,         42,         46,         41,          0,          0,         44,         48,         45,         44,          0,          0,          0,        861,        770,        923,        743,         42,          0,          0,         41,         40,         40,         40,         41,          0,          0,         44,         44,         44,         43,         45,          0,          0,         43,         43,         41,         45,         40,          0,          0,         43,         47,         44,         43,          0,          0,          0,1,06, 5.76,ÇsÇoÇRÇRÇPÉtÉ^ÉiÉV,   9.710
178,"=""90564-51A087""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",        264,"=""20.0""",        229,"=""18.0""",        274,"=""21.0""",        221,"=""21.0""",         13,          0,          0,         13,         13,         12,         12,         13,          0,          0,         14,         14,         14,         13,         14,          0,          0,         13,         13,         13,         14,         12,          0,          0,         13,         14,         14,         13,          0,          0,          0,        254,        228,        273,        220,         12,          0,          0,         12,         12,         11,         11,         12,          0,          0,         13,         13,         13,         12,         13,          0,          0,         12,         12,         12,         13,         11,          0,          0,         12,         13,         13,         12,          0,          0,          0,1,06, 5.76,ÇsÇoÇRÇRÇPÉtÉ^ÉiÉV,   7.770
179,"=""90564-51A088""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",         93,"=""20.0""",         74,"=""18.0""",         89,"=""21.0""",         72,"=""21.0""",          5,          0,          0,          4,          4,          4,          4,          4,          0,          0,          5,          5,          5,          5,          5,          0,          0,          5,          5,          4,          5,          4,          0,          0,          5,          5,          5,          5,          0,          0,          0,         82,         73,         88,         71,          4,          0,          0,          3,          3,          3,          3,          3,          0,          0,          4,          4,          4,          4,          4,          0,          0,          4,          4,          3,          4,          3,          0,          0,          4,          4,          4,          4,          0,          0,          0,1,06, 5.76,ÇsÇoÇRÇRÇPÉtÉ^ÉiÉV,  10.590
180,"=""90564-51A089""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",          0,"=""20.0""",          0,"=""18.0""",          0,"=""21.0""",          0,"=""21.0""",          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,02, 3.64,ÇsÇoÇRÇSÇQÉtÉ^ÉiÉV,   2.110
181,"=""90564-51A090""","=""""","=""""","=""SHIM""","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""6454""","=""ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      100,  0.93, 3.0,1,"=""01""",  0.73,"=""""","=""""","=""""","=""""",         20,"=""20.0""",         13,"=""18.0""",         15,"=""21.0""",         12,"=""21.0""",          1,          0,          0,          1,          1,          1,          1,          1,          0,          0,          1,          1,          1,          1,          1,          0,          0,          1,          1,          1,          1,          1,          0,          0,          1,          1,          1,          1,          0,          0,          0,         13,         12,         14,         11,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,1,04, 8.04,ÇsÇoÇRÇSÇQÉtÉ^ÉAÉä,  10.680
